"ReprgrammingCluster","MohammedCellType","SharedGene"
"3","E6.5 Visceral endoderm","Phldb2"
"3","E6.5 Visceral endoderm","Ghr"
"3","E6.5 Visceral endoderm","Sfrp1"
"3","E6.5 Visceral endoderm","Rcn1"
"4","E3.5","Calcoco2"
"4","E3.5","Sfn"
"4","E3.5","Cd9"
"4","E3.5","Klf5"
"4","E3.5","Ndfip1"
"4","E3.5","Ckb"
"4","E3.5","Isyna1"
"4","E3.5","Tfcp2l1"
"4","E3.5","AA467197"
"4","E3.5","Reep1"
"4","E3.5","Fbp2"
"4","E3.5","Sod2"
"4","E3.5","Upp1"
"4","E3.5","Gsto1"
"4","E3.5","Syngr1"
"4","E3.5","Aqp3"
"4","E3.5","Mras"
"4","E3.5","Prr13"
"4","E3.5","Nub1"
"4","E3.5","Pmm1"
"4","E3.5","Agtrap"
"4","E3.5","Elovl7"
"4","E3.5","Alpl"
"4","E3.5","Tfap2c"
"4","E3.5","Frrs1"
"4","E3.5","Gss"
"4","E3.5","Zfp42"
"4","E3.5","Tuba4a"
"4","E3.5","Baz1a"
"4","E3.5","Gdf3"
"4","E3.5","Spint1"
"4","E3.5","Elf3"
"4","E3.5","Chmp4c"
"4","E3.5","Smagp"
"4","E4.5 PrE","Htra1"
"4","E4.5 PrE","Lrpap1"
"4","E4.5 PrE","Srgn"
"4","E4.5 PrE","Mgst3"
"4","E4.5 PrE","Hspb1"
"4","E4.5 PrE","2200002D01Rik"
"4","E4.5 PrE","Itm2b"
"4","E4.5 PrE","Cpn1"
"4","E4.5 PrE","Ankrd33b"
"4","E4.5 PrE","Agpat4"
"4","E4.5 PrE","Mpzl2"
"4","E4.5 Epiblast","Mylpf"
"4","E4.5 Epiblast","Morc1"
"4","E4.5 Epiblast","Tdh"
"4","E4.5 Epiblast","Fam25c"
"4","E4.5 Epiblast","Zfp57"
"4","E4.5 Epiblast","Tcf15"
"4","E4.5 Epiblast","Tle4"
"4","E4.5 Epiblast","Cth"
"4","E4.5 Epiblast","Pnp"
"4","E4.5 Epiblast","Jup"
"4","E4.5 Epiblast","1190005I06Rik"
"4","E4.5 Epiblast","Acp6"
"4","E4.5 Epiblast","Epas1"
"4","E4.5 Epiblast","Apoc1"
"4","E4.5 Epiblast","Cobl"
"4","E4.5 Epiblast","Fgf4"
"4","E5.5 Epiblast","Psme2"
"4","E6.5 Epiblast1","Zic5"
"4","E6.5 Epiblast1","Trim71"
"4","E6.5 Epiblast1","Chmp5"
"4","E6.5 Epiblast2","Xaf1"
"4","E6.5 Epiblast2","Wfdc2"
"4","E6.5 Primitive streak","Fxyd6"
"4","E6.5 Primitive streak","Ifitm1"
"4","E6.5 Primitive streak","Dll3"
"4","E6.5 Visceral endoderm","Aqp11"
"4","E6.5 Visceral endoderm","Slc39a8"
"4","E6.5 Visceral endoderm","Ezr"
"4","E6.5 Visceral endoderm","Peg10"
"4","E6.5 Visceral endoderm","Podxl"
"4","E6.5 Visceral endoderm","Dpp4"
"4","E6.5 Visceral endoderm","Krt18"
"4","E6.5 Visceral endoderm","Folr1"
"4","E6.5 Visceral endoderm","Slc9a3r1"
"4","E6.5 Visceral endoderm","Sigirr"
"4","E6.5 Visceral endoderm","Cd59a"
"4","E6.5 Visceral endoderm","Dsp"
"4","E6.5 Visceral endoderm","Id1"
"4","E6.5 Visceral endoderm","Cib1"
"4","E6.5 Visceral endoderm","Tspan12"
"4","E6.5 Visceral endoderm","Ak3"
"4","E6.5 Visceral endoderm","Arhgap18"
"4","E6.5 Visceral endoderm","S100a1"
"4","E6.5 Visceral endoderm","Plekhh1"
"4","E6.5 Visceral endoderm","Dsg2"
"4","E6.5 Visceral endoderm","Olfm1"
"4","E6.5 Visceral endoderm","Plekha6"
"4","E6.5 Visceral endoderm","Neu1"
"4","E6.5 Visceral endoderm","Lad1"
"4","E6.5 Visceral endoderm","Cryz"
"4","E6.5 Visceral endoderm","Mgat4a"
"4","E6.5 Visceral endoderm","Krt8"
"4","E6.5 Visceral endoderm","Car2"
"5","E3.5","Creg1"
"5","E3.5","Hexa"
"5","E3.5","Gm2a"
"5","E3.5","Psap"
"5","E3.5","Plin2"
"5","E3.5","Rnf130"
"5","E3.5","Glb1"
"5","E3.5","Guca1a"
"5","E3.5","Spp1"
"5","E3.5","Syngr1"
"5","E3.5","Arpc1b"
"5","E3.5","Klf2"
"5","E3.5","Glrx"
"5","E3.5","Ttyh2"
"5","E3.5","Slc12a7"
"5","E3.5","Mfsd1"
"5","E3.5","Sord"
"5","E3.5","Acp5"
"5","E3.5","Ctsa"
"5","E3.5","Ctsd"
"5","E3.5","Inpp5d"
"5","E3.5","Cndp2"
"5","E3.5","Plod1"
"5","E3.5","Slc2a8"
"5","E3.5","Rnf213"
"5","E3.5","Lgals9"
"5","E3.5","Lgals8"
"5","E3.5","Pld3"
"5","E3.5","Fabp5"
"5","E3.5","Serpinb6a"
"5","E3.5","Ralb"
"5","E3.5","Bach1"
"5","E3.5","Rab20"
"5","E3.5","Saa3"
"5","E3.5","Snx1"
"5","E3.5","Smagp"
"5","E3.5","Hal"
"5","E3.5","H2-K1"
"5","E4.5 PrE","Tfec"
"5","E4.5 PrE","Srgn"
"5","E4.5 PrE","Nostrin"
"5","E4.5 PrE","Dab2"
"5","E4.5 PrE","Fabp3"
"5","E4.5 PrE","Sdf2l1"
"5","E4.5 PrE","Asah1"
"5","E4.5 PrE","Myo7a"
"5","E4.5 PrE","Gdpd5"
"5","E4.5 PrE","Atp6v0a1"
"5","E4.5 PrE","Susd3"
"5","E4.5 PrE","Rbm47"
"5","E4.5 PrE","Dram1"
"5","E4.5 PrE","Itm2b"
"5","E4.5 PrE","Rab3il1"
"5","E4.5 PrE","Snx2"
"5","E4.5 PrE","Sec11c"
"5","E4.5 PrE","Nagk"
"5","E4.5 PrE","Gas6"
"5","E4.5 PrE","Ubash3b"
"5","E4.5 PrE","Tmem144"
"5","E4.5 PrE","Gcnt1"
"5","E4.5 PrE","Ehd4"
"5","E4.5 Epiblast","Manba"
"5","E4.5 Epiblast","Rbpj"
"5","E4.5 Epiblast","Ncoa3"
"5","E4.5 Epiblast","Apoc1"
"5","E5.5 Epiblast","Psme2"
"5","E5.5 Epiblast","Bst2"
"5","E6.5 Epiblast1","none"
"5","E6.5 Epiblast2","H2-T23"
"5","E6.5 Epiblast2","Arl5c"
"5","E6.5 Primitive streak","Stab1"
"5","E6.5 Primitive streak","Speg"
"5","E6.5 Primitive streak","Ttyh3"
"5","E6.5 Primitive streak","Rftn1"
"5","E6.5 Primitive streak","Prex1"
"5","E6.5 Primitive streak","Nek6"
"5","E6.5 Visceral endoderm","Ctsh"
"5","E6.5 Visceral endoderm","Apoc2"
"5","E6.5 Visceral endoderm","Cyba"
"5","E6.5 Visceral endoderm","Emb"
"5","E6.5 Visceral endoderm","Gpx3"
"5","E6.5 Visceral endoderm","Ctsb"
"5","E6.5 Visceral endoderm","Ctsz"
"5","E6.5 Visceral endoderm","Rnase4"
"5","E6.5 Visceral endoderm","Tmem37"
"5","E6.5 Visceral endoderm","Lgmn"
"5","E6.5 Visceral endoderm","Slc7a8"
"5","E6.5 Visceral endoderm","Maf"
"5","E6.5 Visceral endoderm","Cotl1"
"5","E6.5 Visceral endoderm","Pqlc2"
"5","E6.5 Visceral endoderm","Trf"
"5","E6.5 Visceral endoderm","Gramd1b"
"5","E6.5 Visceral endoderm","Npc1"
"5","E6.5 Visceral endoderm","Hebp1"
"5","E6.5 Visceral endoderm","Ctsc"
"5","E6.5 Visceral endoderm","Scpep1"
"5","E6.5 Visceral endoderm","Xpr1"
"5","E6.5 Visceral endoderm","Npl"
"5","E6.5 Visceral endoderm","Phyh"
"5","E6.5 Visceral endoderm","Tcn2"
"5","E6.5 Visceral endoderm","Sh3bp5"
"5","E6.5 Visceral endoderm","Igfbp4"
"5","E6.5 Visceral endoderm","Taok3"
"5","E6.5 Visceral endoderm","Lipa"
"5","E6.5 Visceral endoderm","Tnfaip8"
"5","E6.5 Visceral endoderm","Sh3bgrl2"
"5","E6.5 Visceral endoderm","Slc7a7"
"5","E6.5 Visceral endoderm","Fcgrt"
"5","E6.5 Visceral endoderm","Mfsd12"
"5","E6.5 Visceral endoderm","Atp6v1a"
"5","E6.5 Visceral endoderm","Synj1"
"5","E6.5 Visceral endoderm","Slc31a1"
"5","E6.5 Visceral endoderm","Gabarap"
"5","E6.5 Visceral endoderm","Snx30"
"5","E6.5 Visceral endoderm","Tm4sf5"
"5","E6.5 Visceral endoderm","Sgk3"
"5","E6.5 Visceral endoderm","Gnpda1"
"5","E6.5 Visceral endoderm","Atp6v0d1"
"5","E6.5 Visceral endoderm","Lcp1"
"5","E6.5 Visceral endoderm","Ifi30"
"5","E6.5 Visceral endoderm","Soat1"
"5","E6.5 Visceral endoderm","Rgl1"
"5","E6.5 Visceral endoderm","Fxyd2"
"5","E6.5 Visceral endoderm","Ninj1"
"5","E6.5 Visceral endoderm","Neu1"
"5","E6.5 Visceral endoderm","Slc16a6"
"5","E6.5 Visceral endoderm","Plbd2"
"5","E6.5 Visceral endoderm","Hsd17b11"
"5","E6.5 Visceral endoderm","Slc16a10"
"5","E6.5 Visceral endoderm","Mtus1"
"5","E6.5 Visceral endoderm","Mgat4a"
"5","E6.5 Visceral endoderm","Atp8a1"
"6","E3.5","Spp1"
"6","E3.5","Ctsd"
"6","E3.5","Fabp5"
"6","E3.5","Saa3"
"6","E3.5","Hal"
"6","E4.5 PrE","none"
"6","E4.5 Epiblast","none"
"6","E5.5 Epiblast","none"
"6","E6.5 Epiblast1","none"
"6","E6.5 Epiblast2","none"
"6","E6.5 Primitive streak","none"
"6","E6.5 Visceral endoderm","Ctsb"
"6","E6.5 Visceral endoderm","Ctsz"
"6","E6.5 Visceral endoderm","Lgmn"
"6","E6.5 Visceral endoderm","Cotl1"
"6","E6.5 Visceral endoderm","Ctsc"
"6","E6.5 Visceral endoderm","Igfbp4"
"6","E6.5 Visceral endoderm","Lcp1"
"7","E3.5","Ckb"
"7","E3.5","1500009L16Rik"
"7","E3.5","Jam2"
"7","E3.5","Map1lc3a"
"7","E4.5 PrE","Sparc"
"7","E4.5 PrE","Hspb1"
"7","E4.5 PrE","Itm2b"
"7","E4.5 Epiblast","Sox2"
"7","E5.5 Epiblast","none"
"7","E6.5 Epiblast1","Sox4"
"7","E6.5 Epiblast2","none"
"7","E6.5 Primitive streak","Basp1"
"7","E6.5 Primitive streak","Cnn2"
"7","E6.5 Primitive streak","Ctxn1"
"7","E6.5 Primitive streak","Bpgm"
"7","E6.5 Visceral endoderm","Atp1b1"
"7","E6.5 Visceral endoderm","Gabarap"
"7","E6.5 Visceral endoderm","Sfrp1"
"8","E3.5","Nudt4"
"8","E3.5","Arpc1b"
"8","E3.5","Pros1"
"8","E3.5","Fam129a"
"8","E3.5","Spag9"
"8","E3.5","Bach1"
"8","E4.5 PrE","Sparc"
"8","E4.5 PrE","Col4a1"
"8","E4.5 PrE","Col4a2"
"8","E4.5 PrE","Myo5b"
"8","E4.5 PrE","Atp2b1"
"8","E4.5 Epiblast","Pdgfa"
"8","E4.5 Epiblast","Fmn2"
"8","E4.5 Epiblast","Tubb2b"
"8","E4.5 Epiblast","Adam19"
"8","E5.5 Epiblast","Cthrc1"
"8","E5.5 Epiblast","Col18a1"
"8","E5.5 Epiblast","Bst2"
"8","E6.5 Epiblast1","Dpysl2"
"8","E6.5 Epiblast1","Sox4"
"8","E6.5 Epiblast2","Fgf5"
"8","E6.5 Primitive streak","Greb1"
"8","E6.5 Primitive streak","Lef1"
"8","E6.5 Visceral endoderm","Slc22a23"
"8","E6.5 Visceral endoderm","Cd59a"
"8","E6.5 Visceral endoderm","Gnb4"
"8","E6.5 Visceral endoderm","Tnfaip8"
"8","E6.5 Visceral endoderm","S100a13"
"8","E6.5 Visceral endoderm","Ddah2"
"8","E6.5 Visceral endoderm","Myo18a"
"8","E6.5 Visceral endoderm","Peg3"
"8","E6.5 Visceral endoderm","Sfrp1"
"9","E3.5","Ckb"
"9","E3.5","Stmn3"
"9","E3.5","Csnk1e"
"9","E3.5","Rnd3"
"9","E3.5","Ckmt1"
"9","E4.5 PrE","Bend5"
"9","E4.5 Epiblast","Enox1"
"9","E4.5 Epiblast","Fmn2"
"9","E4.5 Epiblast","Stmn2"
"9","E4.5 Epiblast","Tubb2b"
"9","E5.5 Epiblast","Dnmt3a"
"9","E6.5 Epiblast1","Sox4"
"9","E6.5 Epiblast2","none"
"9","E6.5 Primitive streak","Marcksl1"
"9","E6.5 Primitive streak","Basp1"
"9","E6.5 Primitive streak","Greb1"
"9","E6.5 Primitive streak","H2afy2"
"9","E6.5 Primitive streak","Dll3"
"9","E6.5 Primitive streak","Tubb4a"
"9","E6.5 Primitive streak","Nnat"
"9","E6.5 Primitive streak","Dbn1"
"9","E6.5 Primitive streak","Ctxn1"
"9","E6.5 Primitive streak","Cd24a"
"9","E6.5 Primitive streak","Rab6b"
"9","E6.5 Primitive streak","Ccnjl"
"9","E6.5 Primitive streak","Dpysl5"
"9","E6.5 Primitive streak","Eid1"
"9","E6.5 Primitive streak","Meis2"
"9","E6.5 Visceral endoderm","Tspan13"
"9","E6.5 Visceral endoderm","Id2"
"9","E6.5 Visceral endoderm","Ddah2"
"9","E6.5 Visceral endoderm","Cxxc5"
"9","E6.5 Visceral endoderm","Olfm1"
"9","E6.5 Visceral endoderm","Lhx1"
