"ReprgrammingCluster","MohammedCellType","SharedGene"
"1","E6.5 Visceral endoderm","Ezr"
"1","E6.5 Visceral endoderm","Podxl"
"1","E6.5 Visceral endoderm","Abcg2"
"1","E6.5 Visceral endoderm","Gng12"
"1","E6.5 Visceral endoderm","Myo6"
"1","E6.5 Visceral endoderm","Pcgf5"
"1","E6.5 Visceral endoderm","Slc22a23"
"1","E6.5 Visceral endoderm","Cd59a"
"1","E6.5 Visceral endoderm","Lxn"
"1","E6.5 Visceral endoderm","Dsp"
"1","E6.5 Visceral endoderm","Id1"
"1","E6.5 Visceral endoderm","Ak3"
"1","E6.5 Visceral endoderm","S100a16"
"1","E6.5 Visceral endoderm","Papss1"
"1","E6.5 Visceral endoderm","Stt3b"
"1","E6.5 Visceral endoderm","Ddc"
"1","E6.5 Visceral endoderm","S100a1"
"1","E6.5 Visceral endoderm","Sulf2"
"1","E6.5 Visceral endoderm","Rdh10"
"1","E6.5 Visceral endoderm","Cryz"
"1","E6.5 Visceral endoderm","S100a10"
"1","E6.5 Visceral endoderm","Cd55"
"1","E6.5 Visceral endoderm","Pdcd4"
"2","E3.5","Sdc4"
"2","E3.5","Gjb3"
"2","E3.5","Slc43a3"
"2","E3.5","Ostf1"
"2","E3.5","Dap"
"2","E3.5","Mras"
"2","E3.5","Klf4"
"2","E3.5","Ccnd3"
"2","E3.5","Me1"
"2","E3.5","Nuak1"
"2","E3.5","Slc38a4"
"2","E3.5","Pdia5"
"2","E3.5","Myo1b"
"2","E3.5","Cdc42ep3"
"2","E3.5","Ddr2"
"2","E4.5 PrE","Sparc"
"2","E4.5 PrE","Serpinh1"
"2","E4.5 PrE","Ckap4"
"2","E4.5 PrE","Col4a1"
"2","E4.5 PrE","Col4a2"
"2","E4.5 PrE","Lamc1"
"2","E4.5 PrE","Rcn3"
"2","E4.5 PrE","Pth1r"
"2","E4.5 PrE","Kdelr3"
"2","E4.5 PrE","Runx1"
"2","E4.5 PrE","Dnajc3"
"2","E4.5 PrE","Hspg2"
"2","E4.5 PrE","Creb3l2"
"2","E4.5 PrE","F2r"
"2","E4.5 PrE","Lmna"
"2","E4.5 PrE","Fkbp9"
"2","E4.5 PrE","Ddah1"
"2","E4.5 PrE","Crtap"
"2","E4.5 PrE","Ppic"
"2","E4.5 PrE","Prkar2a"
"2","E4.5 PrE","Anxa2"
"2","E4.5 PrE","Fkbp11"
"2","E4.5 PrE","Txndc5"
"2","E4.5 PrE","Pard6g"
"2","E4.5 Epiblast","none"
"2","E5.5 Epiblast","none"
"2","E6.5 Epiblast1","Dpy19l1"
"2","E6.5 Epiblast1","Wrb"
"2","E6.5 Epiblast2","Aldh1a3"
"2","E6.5 Epiblast2","Myh10"
"2","E6.5 Primitive streak","Rbms1"
"2","E6.5 Primitive streak","Fst"
"2","E6.5 Primitive streak","Efemp2"
"2","E6.5 Primitive streak","Lhfp"
"2","E6.5 Primitive streak","Cnn2"
"2","E6.5 Primitive streak","Fn1"
"2","E6.5 Primitive streak","Grb10"
"2","E6.5 Primitive streak","Slit3"
"2","E6.5 Primitive streak","Zyx"
"2","E6.5 Primitive streak","Ergic1"
"2","E6.5 Primitive streak","Crabp1"
"2","E6.5 Primitive streak","Pbx1"
"2","E6.5 Primitive streak","Capn2"
"2","E6.5 Primitive streak","Nxn"
"2","E6.5 Primitive streak","Plk1"
"2","E6.5 Primitive streak","Sh3pxd2a"
"2","E6.5 Primitive streak","Gpx8"
"2","E6.5 Visceral endoderm","Gpx3"
"2","E6.5 Visceral endoderm","Oat"
"2","E6.5 Visceral endoderm","Tnfrsf12a"
"2","E6.5 Visceral endoderm","Wls"
"2","E6.5 Visceral endoderm","Lxn"
"2","E6.5 Visceral endoderm","Nid2"
"2","E6.5 Visceral endoderm","Iqgap2"
"2","E6.5 Visceral endoderm","S100a16"
"2","E6.5 Visceral endoderm","Lpar1"
"2","E6.5 Visceral endoderm","Loxl2"
"2","E6.5 Visceral endoderm","Bicc1"
"2","E6.5 Visceral endoderm","Degs1"
"2","E6.5 Visceral endoderm","Cpox"
"2","E6.5 Visceral endoderm","Bag2"
"2","E6.5 Visceral endoderm","Actn1"
"2","E6.5 Visceral endoderm","Vegfa"
"2","E6.5 Visceral endoderm","Sgms1"
"2","E6.5 Visceral endoderm","Phldb2"
"2","E6.5 Visceral endoderm","Ghr"
"2","E6.5 Visceral endoderm","Sfrp1"
"2","E6.5 Visceral endoderm","Cd55"
"2","E6.5 Visceral endoderm","Rcn1"
"3","E3.5","Creg1"
"3","E3.5","Hexa"
"3","E3.5","Gm2a"
"3","E3.5","Psap"
"3","E3.5","Plin2"
"3","E3.5","Rnf130"
"3","E3.5","Ubxn1"
"3","E3.5","Glb1"
"3","E3.5","Guca1a"
"3","E3.5","Ostf1"
"3","E3.5","Spp1"
"3","E3.5","Zmat5"
"3","E3.5","Syngr1"
"3","E3.5","Arpc1b"
"3","E3.5","Klf2"
"3","E3.5","Glrx"
"3","E3.5","Ttyh2"
"3","E3.5","Slc12a7"
"3","E3.5","Mfsd1"
"3","E3.5","Sord"
"3","E3.5","Acp5"
"3","E3.5","Ctsa"
"3","E3.5","Ctsd"
"3","E3.5","Mpdu1"
"3","E3.5","Inpp5d"
"3","E3.5","Cndp2"
"3","E3.5","Plod1"
"3","E3.5","Rnf213"
"3","E3.5","Lgals9"
"3","E3.5","Fnbp1"
"3","E3.5","Lgals8"
"3","E3.5","Pld3"
"3","E3.5","Fabp5"
"3","E3.5","Gna13"
"3","E3.5","Serpinb6a"
"3","E3.5","Ralb"
"3","E3.5","Bach1"
"3","E3.5","Acadm"
"3","E3.5","Rab20"
"3","E3.5","Spns1"
"3","E3.5","Saa3"
"3","E3.5","Snx1"
"3","E3.5","Smagp"
"3","E3.5","Hal"
"3","E3.5","H2-K1"
"3","E4.5 PrE","Tfec"
"3","E4.5 PrE","Lrpap1"
"3","E4.5 PrE","Srgn"
"3","E4.5 PrE","Nostrin"
"3","E4.5 PrE","Dab2"
"3","E4.5 PrE","Fabp3"
"3","E4.5 PrE","Sdf2l1"
"3","E4.5 PrE","Asah1"
"3","E4.5 PrE","Myo7a"
"3","E4.5 PrE","Xbp1"
"3","E4.5 PrE","Gdpd5"
"3","E4.5 PrE","Atp6v0a1"
"3","E4.5 PrE","Susd3"
"3","E4.5 PrE","Atp2b1"
"3","E4.5 PrE","Rbm47"
"3","E4.5 PrE","Dram1"
"3","E4.5 PrE","Itm2b"
"3","E4.5 PrE","Rab3il1"
"3","E4.5 PrE","Snx2"
"3","E4.5 PrE","Sec11c"
"3","E4.5 PrE","Insig1"
"3","E4.5 PrE","Nagk"
"3","E4.5 PrE","Gas6"
"3","E4.5 PrE","Ubash3b"
"3","E4.5 PrE","Ggta1"
"3","E4.5 PrE","Tmem144"
"3","E4.5 PrE","Gcnt1"
"3","E4.5 PrE","Atp6v1h"
"3","E4.5 PrE","Ehd4"
"3","E4.5 PrE","Snx27"
"3","E4.5 Epiblast","Manba"
"3","E4.5 Epiblast","Ddx58"
"3","E4.5 Epiblast","Rbpj"
"3","E4.5 Epiblast","Ncoa3"
"3","E4.5 Epiblast","Pnp"
"3","E4.5 Epiblast","Epas1"
"3","E4.5 Epiblast","Apoc1"
"3","E5.5 Epiblast","Psme2"
"3","E5.5 Epiblast","Psmb10"
"3","E5.5 Epiblast","Dnmt3a"
"3","E5.5 Epiblast","Bst2"
"3","E6.5 Epiblast1","none"
"3","E6.5 Epiblast2","H2-T23"
"3","E6.5 Primitive streak","Stab1"
"3","E6.5 Primitive streak","Speg"
"3","E6.5 Primitive streak","Ttyh3"
"3","E6.5 Primitive streak","Rgs19"
"3","E6.5 Primitive streak","Fam89b"
"3","E6.5 Primitive streak","Rftn1"
"3","E6.5 Primitive streak","Prex1"
"3","E6.5 Primitive streak","Nek6"
"3","E6.5 Visceral endoderm","Ctsh"
"3","E6.5 Visceral endoderm","Apoc2"
"3","E6.5 Visceral endoderm","Cyba"
"3","E6.5 Visceral endoderm","Emb"
"3","E6.5 Visceral endoderm","Gpx3"
"3","E6.5 Visceral endoderm","Ctsb"
"3","E6.5 Visceral endoderm","Ctsz"
"3","E6.5 Visceral endoderm","Rnase4"
"3","E6.5 Visceral endoderm","Tmem37"
"3","E6.5 Visceral endoderm","Lgmn"
"3","E6.5 Visceral endoderm","Slc7a8"
"3","E6.5 Visceral endoderm","Ang"
"3","E6.5 Visceral endoderm","Maf"
"3","E6.5 Visceral endoderm","Cotl1"
"3","E6.5 Visceral endoderm","Galm"
"3","E6.5 Visceral endoderm","Pqlc2"
"3","E6.5 Visceral endoderm","Trf"
"3","E6.5 Visceral endoderm","Gramd1b"
"3","E6.5 Visceral endoderm","Stx7"
"3","E6.5 Visceral endoderm","Npc1"
"3","E6.5 Visceral endoderm","Hebp1"
"3","E6.5 Visceral endoderm","Ctsc"
"3","E6.5 Visceral endoderm","Scpep1"
"3","E6.5 Visceral endoderm","Me2"
"3","E6.5 Visceral endoderm","Xpr1"
"3","E6.5 Visceral endoderm","Elovl1"
"3","E6.5 Visceral endoderm","Npl"
"3","E6.5 Visceral endoderm","Phyh"
"3","E6.5 Visceral endoderm","Tcn2"
"3","E6.5 Visceral endoderm","Acox1"
"3","E6.5 Visceral endoderm","Sh3bp5"
"3","E6.5 Visceral endoderm","Igfbp4"
"3","E6.5 Visceral endoderm","Taok3"
"3","E6.5 Visceral endoderm","Scarb1"
"3","E6.5 Visceral endoderm","Lipa"
"3","E6.5 Visceral endoderm","Tnfaip8"
"3","E6.5 Visceral endoderm","Vps26a"
"3","E6.5 Visceral endoderm","Sh3bgrl2"
"3","E6.5 Visceral endoderm","S100a13"
"3","E6.5 Visceral endoderm","Slc7a7"
"3","E6.5 Visceral endoderm","Fcgrt"
"3","E6.5 Visceral endoderm","Mfsd12"
"3","E6.5 Visceral endoderm","Atp6v1a"
"3","E6.5 Visceral endoderm","Synj1"
"3","E6.5 Visceral endoderm","Acot13"
"3","E6.5 Visceral endoderm","Slc31a1"
"3","E6.5 Visceral endoderm","Gabarap"
"3","E6.5 Visceral endoderm","S100a1"
"3","E6.5 Visceral endoderm","Snx30"
"3","E6.5 Visceral endoderm","Tm4sf5"
"3","E6.5 Visceral endoderm","Sgk3"
"3","E6.5 Visceral endoderm","Gnpda1"
"3","E6.5 Visceral endoderm","Atp6v0d1"
"3","E6.5 Visceral endoderm","Lcp1"
"3","E6.5 Visceral endoderm","Ifi30"
"3","E6.5 Visceral endoderm","Reep5"
"3","E6.5 Visceral endoderm","Soat1"
"3","E6.5 Visceral endoderm","Rgl1"
"3","E6.5 Visceral endoderm","Fxyd2"
"3","E6.5 Visceral endoderm","Ncoa4"
"3","E6.5 Visceral endoderm","Ninj1"
"3","E6.5 Visceral endoderm","Neu1"
"3","E6.5 Visceral endoderm","Mgrn1"
"3","E6.5 Visceral endoderm","Gna12"
"3","E6.5 Visceral endoderm","Mia2"
"3","E6.5 Visceral endoderm","Sel1l"
"3","E6.5 Visceral endoderm","Slc16a6"
"3","E6.5 Visceral endoderm","Plbd2"
"3","E6.5 Visceral endoderm","Hsd17b11"
"3","E6.5 Visceral endoderm","Slc16a10"
"3","E6.5 Visceral endoderm","Mtus1"
"3","E6.5 Visceral endoderm","Mgat4a"
"3","E6.5 Visceral endoderm","Galk2"
"3","E6.5 Visceral endoderm","Atp8a1"
"4","E3.5","Etfa"
"4","E3.5","Tfcp2l1"
"4","E3.5","Pttg1"
"4","E3.5","Acadl"
"4","E3.5","Upp1"
"4","E3.5","Echdc2"
"4","E3.5","Prr13"
"4","E3.5","Pmm1"
"4","E3.5","Psmd3"
"4","E3.5","Mybl2"
"4","E3.5","Baz1a"
"4","E3.5","Arid5b"
"4","E3.5","Smpdl3b"
"4","E3.5","Stk24"
"4","E3.5","Ipo7"
"4","E3.5","Acad9"
"4","E4.5 PrE","Eps8"
"4","E4.5 PrE","B4galt6"
"4","E4.5 Epiblast","Cth"
"4","E5.5 Epiblast","none"
"4","E6.5 Epiblast1","Dpy19l1"
"4","E6.5 Epiblast2","Ldha"
"4","E6.5 Primitive streak","Pcbp4"
"4","E6.5 Primitive streak","Grb10"
"4","E6.5 Primitive streak","Cdk2ap1"
"4","E6.5 Primitive streak","Cd24a"
"4","E6.5 Primitive streak","Plk1"
"4","E6.5 Visceral endoderm","Slc16a1"
"4","E6.5 Visceral endoderm","Iqgap2"
"4","E6.5 Visceral endoderm","Plscr1"
"4","E6.5 Visceral endoderm","Lpar1"
"4","E6.5 Visceral endoderm","Ddc"
"4","E6.5 Visceral endoderm","Acot1"
"4","E6.5 Visceral endoderm","Bag2"
"4","E6.5 Visceral endoderm","S100a10"
"4","E6.5 Visceral endoderm","Sfxn1"
"5","E3.5","Nudt4"
"5","E3.5","Map1lc3a"
"5","E3.5","Tes"
"5","E3.5","Dap"
"5","E3.5","Klf2"
"5","E3.5","Glrx"
"5","E3.5","Ccnd3"
"5","E3.5","Lpcat3"
"5","E3.5","Mfge8"
"5","E3.5","Gaa"
"5","E3.5","Tbx3"
"5","E3.5","Nuak1"
"5","E3.5","Plod1"
"5","E3.5","Fgf10"
"5","E3.5","Spag9"
"5","E3.5","Pdia5"
"5","E3.5","Serpinb6a"
"5","E3.5","Cdc42ep3"
"5","E3.5","Rnf19b"
"5","E3.5","Ddr2"
"5","E3.5","Cox18"
"5","E4.5 PrE","Sparc"
"5","E4.5 PrE","Serpinh1"
"5","E4.5 PrE","Lamb1"
"5","E4.5 PrE","Ckap4"
"5","E4.5 PrE","Col4a1"
"5","E4.5 PrE","Col4a2"
"5","E4.5 PrE","Lamc1"
"5","E4.5 PrE","Flrt3"
"5","E4.5 PrE","Plod2"
"5","E4.5 PrE","Rcn3"
"5","E4.5 PrE","Creld2"
"5","E4.5 PrE","Pth1r"
"5","E4.5 PrE","Kdelr3"
"5","E4.5 PrE","P4ha1"
"5","E4.5 PrE","Pdgfra"
"5","E4.5 PrE","Glipr2"
"5","E4.5 PrE","Runx1"
"5","E4.5 PrE","Dnajc3"
"5","E4.5 PrE","Xbp1"
"5","E4.5 PrE","Hspg2"
"5","E4.5 PrE","Nrg1"
"5","E4.5 PrE","Eml1"
"5","E4.5 PrE","Dram1"
"5","E4.5 PrE","Dnajc10"
"5","E4.5 PrE","Creb3l2"
"5","E4.5 PrE","F2r"
"5","E4.5 PrE","P4ha2"
"5","E4.5 PrE","Fkbp9"
"5","E4.5 PrE","Herpud1"
"5","E4.5 PrE","Tspan9"
"5","E4.5 PrE","Nagk"
"5","E4.5 PrE","Gas6"
"5","E4.5 PrE","Klf6"
"5","E4.5 PrE","Ddah1"
"5","E4.5 PrE","Crtap"
"5","E4.5 PrE","Rabac1"
"5","E4.5 PrE","Ppic"
"5","E4.5 PrE","Prkar2a"
"5","E4.5 PrE","Zfyve21"
"5","E4.5 PrE","Fkbp11"
"5","E4.5 PrE","Txndc5"
"5","E4.5 PrE","Gfpt1"
"5","E4.5 PrE","Ank"
"5","E4.5 Epiblast","Dnmt3l"
"5","E4.5 Epiblast","Tns3"
"5","E4.5 Epiblast","Med13l"
"5","E4.5 Epiblast","Rpl39l"
"5","E4.5 Epiblast","Ttc39b"
"5","E4.5 Epiblast","Slc9a3r2"
"5","E4.5 Epiblast","Adam19"
"5","E4.5 Epiblast","Bnc2"
"5","E5.5 Epiblast","Cthrc1"
"5","E5.5 Epiblast","Ptk7"
"5","E5.5 Epiblast","Col18a1"
"5","E5.5 Epiblast","Tmem132a"
"5","E6.5 Epiblast1","none"
"5","E6.5 Epiblast2","Aldh1a3"
"5","E6.5 Epiblast2","Myh10"
"5","E6.5 Primitive streak","Rbms1"
"5","E6.5 Primitive streak","Fst"
"5","E6.5 Primitive streak","Basp1"
"5","E6.5 Primitive streak","Efemp2"
"5","E6.5 Primitive streak","Lhfp"
"5","E6.5 Primitive streak","Gas1"
"5","E6.5 Primitive streak","Snai1"
"5","E6.5 Primitive streak","Plekhg2"
"5","E6.5 Primitive streak","Cnn2"
"5","E6.5 Primitive streak","Cdh2"
"5","E6.5 Primitive streak","Irx3"
"5","E6.5 Primitive streak","Fn1"
"5","E6.5 Primitive streak","Yap1"
"5","E6.5 Primitive streak","Slit3"
"5","E6.5 Primitive streak","Zyx"
"5","E6.5 Primitive streak","Ergic1"
"5","E6.5 Primitive streak","Pkdcc"
"5","E6.5 Primitive streak","Phldb1"
"5","E6.5 Primitive streak","Dbn1"
"5","E6.5 Primitive streak","Capn2"
"5","E6.5 Primitive streak","Nxn"
"5","E6.5 Primitive streak","Gli3"
"5","E6.5 Primitive streak","Rftn1"
"5","E6.5 Primitive streak","Trim35"
"5","E6.5 Primitive streak","Bpgm"
"5","E6.5 Primitive streak","Sh3pxd2a"
"5","E6.5 Primitive streak","Gpx8"
"5","E6.5 Primitive streak","Ipo9"
"5","E6.5 Primitive streak","Carm1"
"5","E6.5 Primitive streak","Mfap2"
"5","E6.5 Visceral endoderm","Rbp4"
"5","E6.5 Visceral endoderm","Gpx3"
"5","E6.5 Visceral endoderm","H19"
"5","E6.5 Visceral endoderm","Vkorc1"
"5","E6.5 Visceral endoderm","Rnase4"
"5","E6.5 Visceral endoderm","Oat"
"5","E6.5 Visceral endoderm","Tnfrsf12a"
"5","E6.5 Visceral endoderm","Tmem150a"
"5","E6.5 Visceral endoderm","Igf2"
"5","E6.5 Visceral endoderm","Wls"
"5","E6.5 Visceral endoderm","Ly75"
"5","E6.5 Visceral endoderm","Gng12"
"5","E6.5 Visceral endoderm","Obsl1"
"5","E6.5 Visceral endoderm","Scpep1"
"5","E6.5 Visceral endoderm","Fbln1"
"5","E6.5 Visceral endoderm","Gnb4"
"5","E6.5 Visceral endoderm","Eea1"
"5","E6.5 Visceral endoderm","S100a16"
"5","E6.5 Visceral endoderm","Lpar1"
"5","E6.5 Visceral endoderm","Loxl2"
"5","E6.5 Visceral endoderm","Gabarap"
"5","E6.5 Visceral endoderm","Bicc1"
"5","E6.5 Visceral endoderm","Degs1"
"5","E6.5 Visceral endoderm","Snx30"
"5","E6.5 Visceral endoderm","Arhgap1"
"5","E6.5 Visceral endoderm","Cxxc5"
"5","E6.5 Visceral endoderm","Bag2"
"5","E6.5 Visceral endoderm","Actn1"
"5","E6.5 Visceral endoderm","Cobll1"
"5","E6.5 Visceral endoderm","Vegfa"
"5","E6.5 Visceral endoderm","Sel1l"
"5","E6.5 Visceral endoderm","Phldb2"
"5","E6.5 Visceral endoderm","Smoc1"
"5","E6.5 Visceral endoderm","Ghr"
"5","E6.5 Visceral endoderm","Sfrp1"
"5","E6.5 Visceral endoderm","Rcn1"
"6","E3.5","Pttg1"
"6","E3.5","Dap"
"6","E3.5","Scand1"
"6","E4.5 PrE","Fkbp11"
"6","E4.5 Epiblast","Fam25c"
"6","E5.5 Epiblast","none"
"6","E6.5 Epiblast1","none"
"6","E6.5 Epiblast2","Wfdc2"
"6","E6.5 Primitive streak","Efemp2"
"6","E6.5 Primitive streak","Crabp1"
"6","E6.5 Visceral endoderm","Commd3"
"6","E6.5 Visceral endoderm","Slc39a1"
"7","E3.5","Tet2"
"7","E3.5","Ndfip1"
"7","E3.5","Tmem59"
"7","E3.5","Ckb"
"7","E3.5","Reep1"
"7","E3.5","Ppm1a"
"7","E3.5","Map1lc3a"
"7","E3.5","H2afy"
"7","E3.5","Scand1"
"7","E3.5","Stmn3"
"7","E3.5","Csnk1e"
"7","E3.5","Rnd3"
"7","E3.5","Nkx6-2"
"7","E3.5","Spag9"
"7","E3.5","Ypel5"
"7","E3.5","Myo1b"
"7","E3.5","Nedd4l"
"7","E3.5","Snf8"
"7","E4.5 PrE","Bend5"
"7","E4.5 PrE","Fabp3"
"7","E4.5 PrE","Gdpd5"
"7","E4.5 PrE","Ppm1l"
"7","E4.5 PrE","Cmpk1"
"7","E4.5 PrE","Atp6v1h"
"7","E4.5 PrE","Cyp51"
"7","E4.5 PrE","Arf5"
"7","E4.5 Epiblast","Enox1"
"7","E4.5 Epiblast","Zfp428"
"7","E4.5 Epiblast","Rbpj"
"7","E4.5 Epiblast","Adprh"
"7","E4.5 Epiblast","Zfp57"
"7","E4.5 Epiblast","Tle4"
"7","E4.5 Epiblast","Fmn2"
"7","E4.5 Epiblast","Stmn2"
"7","E4.5 Epiblast","Tubb2b"
"7","E5.5 Epiblast","Dnmt3a"
"7","E5.5 Epiblast","Tmem132a"
"7","E6.5 Epiblast1","Dpysl2"
"7","E6.5 Epiblast1","Sox4"
"7","E6.5 Epiblast1","Klhl9"
"7","E6.5 Epiblast1","Msi2"
"7","E6.5 Epiblast1","Chmp5"
"7","E6.5 Epiblast1","Ptbp2"
"7","E6.5 Epiblast2","Dennd5b"
"7","E6.5 Epiblast2","Myh10"
"7","E6.5 Primitive streak","Nt5dc2"
"7","E6.5 Primitive streak","Pcbp4"
"7","E6.5 Primitive streak","Marcksl1"
"7","E6.5 Primitive streak","Fxyd6"
"7","E6.5 Primitive streak","Basp1"
"7","E6.5 Primitive streak","Arl2bp"
"7","E6.5 Primitive streak","Ptov1"
"7","E6.5 Primitive streak","Cdh2"
"7","E6.5 Primitive streak","Dcakd"
"7","E6.5 Primitive streak","H2afy2"
"7","E6.5 Primitive streak","Ptms"
"7","E6.5 Primitive streak","Dll3"
"7","E6.5 Primitive streak","Mtch1"
"7","E6.5 Primitive streak","Tubb4a"
"7","E6.5 Primitive streak","Crabp1"
"7","E6.5 Primitive streak","Robo1"
"7","E6.5 Primitive streak","Pbx1"
"7","E6.5 Primitive streak","Nnat"
"7","E6.5 Primitive streak","Dbn1"
"7","E6.5 Primitive streak","Zfp358"
"7","E6.5 Primitive streak","Ttyh3"
"7","E6.5 Primitive streak","Kif1a"
"7","E6.5 Primitive streak","Dctn2"
"7","E6.5 Primitive streak","Ctxn1"
"7","E6.5 Primitive streak","Cd24a"
"7","E6.5 Primitive streak","Prmt2"
"7","E6.5 Primitive streak","Cited2"
"7","E6.5 Primitive streak","Rab6b"
"7","E6.5 Primitive streak","Rab11b"
"7","E6.5 Primitive streak","Ccnjl"
"7","E6.5 Primitive streak","Dpysl5"
"7","E6.5 Primitive streak","Eid1"
"7","E6.5 Primitive streak","Fam89b"
"7","E6.5 Primitive streak","Meis2"
"7","E6.5 Primitive streak","Mest"
"7","E6.5 Primitive streak","Trim35"
"7","E6.5 Primitive streak","Chd7"
"7","E6.5 Primitive streak","Dvl3"
"7","E6.5 Primitive streak","Ube2r2"
"7","E6.5 Visceral endoderm","Peg10"
"7","E6.5 Visceral endoderm","Cotl1"
"7","E6.5 Visceral endoderm","Stx7"
"7","E6.5 Visceral endoderm","Tspan13"
"7","E6.5 Visceral endoderm","Xpr1"
"7","E6.5 Visceral endoderm","Sgce"
"7","E6.5 Visceral endoderm","Plxna2"
"7","E6.5 Visceral endoderm","Id2"
"7","E6.5 Visceral endoderm","Atp1b1"
"7","E6.5 Visceral endoderm","Gabarap"
"7","E6.5 Visceral endoderm","Ddah2"
"7","E6.5 Visceral endoderm","Atp6v0d1"
"7","E6.5 Visceral endoderm","Ndfip2"
"7","E6.5 Visceral endoderm","Cxxc5"
"7","E6.5 Visceral endoderm","Olfm1"
"7","E6.5 Visceral endoderm","Plekha6"
"7","E6.5 Visceral endoderm","Mtus1"
"7","E6.5 Visceral endoderm","Lhx1"
"7","E6.5 Visceral endoderm","Peg3"
"8","E3.5","Calcoco2"
"8","E3.5","Sfn"
"8","E3.5","Cd9"
"8","E3.5","Klf5"
"8","E3.5","Nfatc2ip"
"8","E3.5","Ckb"
"8","E3.5","Isyna1"
"8","E3.5","Tfcp2l1"
"8","E3.5","Fbp2"
"8","E3.5","Sod2"
"8","E3.5","Upp1"
"8","E3.5","Echdc2"
"8","E3.5","Gsto1"
"8","E3.5","Aqp3"
"8","E3.5","Mras"
"8","E3.5","Pmm1"
"8","E3.5","Agtrap"
"8","E3.5","Elovl7"
"8","E3.5","Alpl"
"8","E3.5","Tfap2c"
"8","E3.5","Mybl2"
"8","E3.5","Frrs1"
"8","E3.5","Gss"
"8","E3.5","Zfp42"
"8","E3.5","Tuba4a"
"8","E3.5","Baz1a"
"8","E3.5","Nanog"
"8","E3.5","Gdf3"
"8","E3.5","Spint1"
"8","E3.5","Aebp2"
"8","E3.5","Slc35f2"
"8","E3.5","Elf3"
"8","E3.5","Chmp4c"
"8","E3.5","Smagp"
"8","E3.5","Ccdc43"
"8","E4.5 PrE","Htra1"
"8","E4.5 PrE","Lrpap1"
"8","E4.5 PrE","Srgn"
"8","E4.5 PrE","Mgst3"
"8","E4.5 PrE","Hspb1"
"8","E4.5 PrE","2200002D01Rik"
"8","E4.5 PrE","Cpn1"
"8","E4.5 PrE","Ankrd33b"
"8","E4.5 PrE","Agpat4"
"8","E4.5 PrE","Mpzl2"
"8","E4.5 Epiblast","Mylpf"
"8","E4.5 Epiblast","Morc1"
"8","E4.5 Epiblast","Zfp428"
"8","E4.5 Epiblast","Tdh"
"8","E4.5 Epiblast","Pdgfa"
"8","E4.5 Epiblast","Fam25c"
"8","E4.5 Epiblast","Zfp57"
"8","E4.5 Epiblast","Tcf15"
"8","E4.5 Epiblast","Setx"
"8","E4.5 Epiblast","Tle4"
"8","E4.5 Epiblast","F2rl1"
"8","E4.5 Epiblast","Cth"
"8","E4.5 Epiblast","Jup"
"8","E4.5 Epiblast","1190005I06Rik"
"8","E4.5 Epiblast","Acp6"
"8","E4.5 Epiblast","Tdgf1"
"8","E4.5 Epiblast","Epas1"
"8","E4.5 Epiblast","Apoc1"
"8","E4.5 Epiblast","Cobl"
